index;nome;grupo;logo;url
0;RECORD BAHIA FHD;RECORD;https://upload.wikimedia.org/wikipedia/pt/1/10/Logotipo_da_Record.png?20190726203014;http://alphaboxapp3.click:80/878698658teste/181506425/617698.ts
1;RECORD BAHIA SD;RECORD;https://upload.wikimedia.org/wikipedia/pt/1/10/Logotipo_da_Record.png?20190726203014;http://alphaboxapp3.click:80/878698658teste/181506425/617697.ts
2;REMO TV;⚽ PPV ESPORTES;https://logodetimes.com/wp-content/uploads/remo.png;http://alphaboxapp3.click:80/878698658teste/181506425/617254.ts
3;PAPÃO TV;⚽ PPV ESPORTES;https://yt3.googleusercontent.com/EZksBISAV2p_PazGAXkCcIzh1fcG0OeArfqhi5wb5BhQSI8Mex9m04O2LHw0aYITQPHPAhx-=s900-c-k-c0x00ffffff-no-rj;http://alphaboxapp3.click:80/878698658teste/181506425/614927.ts
4;Max 1 HD;⚽ HBO MAX;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/HBO_Max_%282025%29.svg/960px-HBO_Max_%282025%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/219555.ts
5;MAX 1² ALTERNATIVO;⚽ HBO MAX;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/HBO_Max_%282025%29.svg/960px-HBO_Max_%282025%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/1052523.ts
6;MAX 1¹ ALTERNATIVO;⚽ HBO MAX;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/HBO_Max_%282025%29.svg/960px-HBO_Max_%282025%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/1052524.ts
7;Max 2 HD;⚽ HBO MAX;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/HBO_Max_%282025%29.svg/960px-HBO_Max_%282025%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/219556.ts
8;MAX 2 ALTERNATIVO;⚽ HBO MAX;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/HBO_Max_%282025%29.svg/960px-HBO_Max_%282025%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/1052527.ts
9;Max 3 HD;⚽ HBO MAX;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/HBO_Max_%282025%29.svg/960px-HBO_Max_%282025%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/219557.ts
10;Max 4 HD;⚽ HBO MAX;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/HBO_Max_%282025%29.svg/960px-HBO_Max_%282025%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/219558.ts
11;TV CULTURA PARA;VARIEDADES;https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Cultura_logo_2013.svg/500px-Cultura_logo_2013.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/614470.m3u8
13;SBT CIDADE VERDE PI;CANAIS SBT;https://upload.wikimedia.org/wikipedia/pt/thumb/4/41/Logotipo_do_SBT.svg/500px-Logotipo_do_SBT.svg.png?20150423190334;http://alphaboxapp3.click:80/878698658teste/181506425/468714.ts
48;USA NETWORK HD+;CANAIS INTERNACIONAIS;;http://alphaboxapp3.click:80/878698658teste/181506425/326872.ts
49;RTP Madeira;PT: PORTUGAL;;http://alphaboxapp3.click:80/878698658teste/181506425/326871.ts
50;RTP Açores;PT: PORTUGAL;;http://alphaboxapp3.click:80/878698658teste/181506425/326870.ts
51;Globo News SD;NOTÍCIAS;https://upload.wikimedia.org/wikipedia/commons/8/89/Logotipo_da_GloboNews.png;http://alphaboxapp3.click:80/878698658teste/181506425/326765.ts
52;Globo News HD;NOTÍCIAS;https://upload.wikimedia.org/wikipedia/commons/8/89/Logotipo_da_GloboNews.png;http://alphaboxapp3.click:80/878698658teste/181506425/326764.ts
53;Globo News FHD;NOTÍCIAS;https://upload.wikimedia.org/wikipedia/commons/8/89/Logotipo_da_GloboNews.png;http://alphaboxapp3.click:80/878698658teste/181506425/326763.ts
266;Rede Globo TV Bahia FHD;GLOBOS CAPITAIS;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/TV_Globo_logo_%28April_2025%29.png/960px-TV_Globo_logo_%28April_2025%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/326254.ts
267;Rede Globo TV Bahia HD;GLOBOS CAPITAIS;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/TV_Globo_logo_%28April_2025%29.png/960px-TV_Globo_logo_%28April_2025%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/326255.ts
269;Rede Globo Rio de Janeiro FHD;GLOBOS CAPITAIS;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/TV_Globo_logo_%28April_2025%29.png/960px-TV_Globo_logo_%28April_2025%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/326257.ts
270;Rede Globo Rio de Janeiro HD;GLOBOS CAPITAIS;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/TV_Globo_logo_%28April_2025%29.png/960px-TV_Globo_logo_%28April_2025%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/326258.ts
272;Rede Globo São Paulo FHD;GLOBOS CAPITAIS;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/TV_Globo_logo_%28April_2025%29.png/960px-TV_Globo_logo_%28April_2025%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/326260.ts
273;Rede Globo São Paulo HD;GLOBOS CAPITAIS;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/TV_Globo_logo_%28April_2025%29.png/960px-TV_Globo_logo_%28April_2025%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/326261.ts
